Date,Company,GSVI,GSVI_lag1,AGSVI,R,R_lag1,Volatility,Volume_lag1,Volume,Mkt_RF,SMB,HML,RMW,CMA
04-03-2019,CPRT,62,44,-0.044451763,-0.012191039,0.012543583,0.000157341,13420500,10037500,-1.29,0.19,0.94,-0.77,0.37
04-03-2019,CSCO,46,33,-0.029852963,0.001563758,0.021486323,0.000461662,5117400,7327800,-1.22,-0.87,1.93,0.51,1.25
04-03-2019,CSX,25,68,-0.043172172,0.01794508,0.01228098,0.000150822,6534000,1722500,0,0,-0.01,0,-0.01
04-03-2019,CTAS,94,25,3.218875825,-0.011914328,0.042336467,0.001792376,4058600,7139200,-0.54,-0.36,0.76,-0.1,0.17
04-03-2019,CTSH,48,11,-0.241162057,0.031701052,-0.019818578,0.000392776,5431000,6927900,0.03,0.02,0.06,-0.02,0.02
04-03-2019,DLTR,90,29,-0.216223108,0.011607399,0.017105088,0.000292584,7512900,7423200,-0.18,-0.26,-0.11,-0.12,-0.12
04-03-2019,DXCM,63,31,0.032789823,-0.122921904,0.05708949,0.00325921,6489700,7601300,-3.31,0.29,0.27,-0.3,0.27
04-03-2019,EA,96,30,0,0.049220044,-0.009705876,9.4204E-05,9469800,15119000,-1.14,-0.15,2,0.61,1.74
04-03-2019,EBAY,76,18,-0.105360516,0.14600981,0.00021066,4.43776E-08,6646400,13618600,0.8,1.12,1.63,-0.21,0.45
04-03-2019,EXC,92,27,-0.036367644,0.045140408,0.047008292,0.00220978,8433100,5536900,-0.04,-0.35,0.39,0.56,0.11
04-03-2019,FAST,95,17,0,-0.121869966,0.008804611,7.75212E-05,5205800,8734200,1.11,0.8,-0.66,-1.44,-0.75
04-03-2019,FB,42,49,3.891820298,0.042478414,0.041532188,0.001724923,38713565,97592000,-0.54,-0.36,0.76,-0.1,0.17
04-03-2019,FISV,16,28,0,0.0252394,-0.006035571,3.64281E-05,30632600,24164700,0.11,0.54,-1.33,-0.47,-0.67
04-03-2019,GILD,29,24,0,-0.010681254,0.019591676,0.000383834,24781000,2230400,0.02,-0.37,-0.37,0.05,-0.36
04-03-2019,GOOG,33,94,0.148845628,-0.022100291,-0.049050398,0.002405942,53405700,24828719,1.74,2.18,1.37,-0.04,0.51
04-03-2019,IDXX,29,45,-0.064538521,-0.007604603,0.018893952,0.000356981,173529000,21563800,1.66,0.54,0.73,0.12,0.16
04-03-2019,ILMN,92,19,-0.100083459,0.051114143,-0.047237869,0.002231416,26708800,44986200,2.58,0.67,-0.34,-0.24,-0.1
04-03-2019,INCY,69,31,0.298492989,-0.002382629,0.008021226,6.43401E-05,2363200,105080500,-0.15,-0.17,-0.41,0.05,-0.48
04-03-2019,INTC,74,0,0,0.02769538,0,0,7547900,8614500,0.9,0.82,-1.01,-0.23,-0.44
04-03-2019,INTU,27,20,-0.048790164,0.003346363,-0.017143607,0.000293903,91876600,7524000,-2.58,-0.44,1.01,0.04,0.78
04-03-2019,ISRG,21,6,0,-0.004380946,0.020611021,0.000424814,43536500,5021200,0.08,1.16,2.63,0.14,0.39
04-03-2019,JD,56,63,0.15415068,0.009412224,0.011325911,0.000128276,6935500,6458900,0.35,-0.27,-0.45,-0.17,-0.36
04-03-2019,KDP,20,9,0,0.014272148,0.071056053,0.005048963,60533300,3926400,0.02,-0.48,-2.72,-0.29,-0.8
04-03-2019,KHC,11,7,-0.133531393,-0.117459834,-0.075861056,0.0057549,94790700,10715000,-0.02,-0.02,-0.03,0,0
04-03-2019,KLAC,39,63,0.065597282,0.048868131,-0.009693448,9.39629E-05,10386200,9956700,-1.29,0.19,0.94,-0.77,0.37
04-03-2019,LRCX,24,12,0.182321557,0.039648358,-0.027350438,0.000748046,135723600,7562900,-1.22,-0.87,1.93,0.51,1.25
04-03-2019,LULU,12,5,0,0.025480947,-0.003446848,1.18808E-05,64007200,4737200,0,0,-0.01,0,-0.01
04-03-2019,MAR,16,83,4.418840608,-0.003387151,0.014823276,0.00021973,31639700,9412800,-0.54,-0.36,0.76,-0.1,0.17
04-03-2019,MCHP,47,56,0.074107972,-0.00486133,-0.034705389,0.001204464,3520900,21573600,0.03,0.02,0.06,-0.02,0.02
04-03-2019,MDLZ,22,69,0.014598799,-0.001073337,0.00264419,6.99174E-06,37530700,9233600,-0.18,-0.26,-0.11,-0.12,-0.12
04-03-2019,MELI,50,64,0.330241687,-0.147054388,-0.039923216,0.001593863,2793300,17330800,-3.31,0.29,0.27,-0.3,0.27
04-03-2019,MNST,64,65,0.063513406,0.033004842,0.008054029,6.48674E-05,52162400,34283000,-1.14,-0.15,2,0.61,1.74
04-03-2019,MRVL,51,54,0.405465108,0.015379665,0.03757292,0.001411724,1478800,17061200,0.8,1.12,1.63,-0.21,0.45
04-03-2019,MSFT,46,59,-0.065597282,0.001009789,0.001415275,2.003E-06,23926900,10494600,-0.04,-0.35,0.39,0.56,0.11
04-03-2019,MTCH,53,38,0.111225635,0.095661659,-0.045417953,0.00206279,2480500,9337800,1.11,0.8,-0.66,-1.44,-0.75
04-03-2019,MU,29,21,3.044522438,0.022010946,0.087998332,0.007743706,8046700,25978600,-0.54,-0.36,0.76,-0.1,0.17
04-03-2019,NFLX,46,14,-0.194156014,-0.040567811,-0.035523151,0.001261894,184062800,26897600,0.03,0.02,0.06,-0.02,0.02
04-03-2019,NTES,14,23,-0.196710294,-0.004271951,-0.004961077,2.46123E-05,7055100,11234400,-0.18,-0.26,-0.11,-0.12,-0.12
04-03-2019,NVDA,41,11,-0.241162057,-0.137897759,-0.049191484,0.002419802,152781200,11334800,-3.31,0.29,0.27,-0.3,0.27
04-03-2019,NXPI,2,25,-0.277631737,0.035240497,0.033925606,0.001150947,16788500,35811700,-1.14,-0.15,2,0.61,1.74
04-03-2019,OKTA,17,17,-0.057158414,0.054098647,0.027470937,0.000754652,140084400,9046600,0.8,1.12,1.63,-0.21,0.45
04-03-2019,ORLY,6,41,-0.178248231,0.029775768,0.04211713,0.001773853,7442400,7766100,-0.04,-0.35,0.39,0.56,0.11
04-03-2019,PAYX,32,9,-0.287682072,0.099779091,-0.048836595,0.002385013,110230800,9537000,1.11,0.8,-0.66,-1.44,-0.75
04-03-2019,PCAR,27,61,4.110873864,0.017504878,-0.021222893,0.000450411,43856300,33993300,-0.54,-0.36,0.76,-0.1,0.17
04-03-2019,PEP,40,34,-0.084557388,0.056576171,0.000436632,1.90648E-07,1813600,169352900,0.11,0.54,-1.33,-0.47,-0.67
04-03-2019,PYPL,55,63,-0.031252544,-0.016452913,0.013766397,0.000189514,3386800,9399200,0.02,-0.37,-0.37,0.05,-0.36
04-03-2019,QCOM,44,12,0.087011377,0.003571583,0.071831947,0.005159829,4262100,23071700,1.74,2.18,1.37,-0.04,0.51
04-03-2019,REGN,25,17,-0.385662481,0.031435129,-0.043965139,0.001932933,23673700,2394800,1.66,0.54,0.73,0.12,0.16
04-03-2019,ROST,75,34,-0.057158414,0.024120273,-0.043006145,0.001849529,47388800,3945600,2.58,0.67,-0.34,-0.24,-0.1
04-03-2019,SBUX,22,31,-0.327212911,0.048358592,0.052120516,0.002716548,16303700,5701800,-0.15,-0.17,-0.41,0.05,-0.48
04-03-2019,SGEN,44,60,4.094344562,-0.00330033,-0.016340217,0.000267003,16412000,136867800,-0.54,-0.36,0.76,-0.1,0.17
04-03-2019,SIRI,35,89,0.298981628,-0.002316078,-0.03931628,0.00154577,30704600,3580900,0.03,0.02,0.06,-0.02,0.02
04-03-2019,SNPS,34,56,0,0.018838844,-0.011032448,0.000121715,17271300,112251300,-0.18,-0.26,-0.11,-0.12,-0.12
04-03-2019,SPLK,37,94,0.323787077,-0.079412377,-0.089736541,0.008052647,24461300,4849400,-3.31,0.29,0.27,-0.3,0.27
04-03-2019,SWKS,62,63,0.082691716,0.032789834,-0.024264682,0.000588775,41253800,187752600,-1.14,-0.15,2,0.61,1.74
04-03-2019,TEAM,48,64,0.015748357,0.031133566,-0.034720407,0.001205507,41282900,4199600,0.8,1.12,1.63,-0.21,0.45
04-03-2019,TMUS,48,53,-0.037041272,-0.00631913,0.012678446,0.000160743,28113300,120241100,-0.04,-0.35,0.39,0.56,0.11
04-03-2019,TSLA,18,78,0.331357136,0.04603934,0.077941104,0.006074816,19370800,2950000,1.11,0.8,-0.66,-1.44,-0.75
04-03-2019,TXN,30,29,3.36729583,0.034167213,0.085736717,0.007350785,3362000,9457100,-0.54,-0.36,0.76,-0.1,0.17
04-03-2019,VRSK,67,41,-0.047628049,0.039266948,-0.016545071,0.000273739,25233500,9328300,0.11,0.54,-1.33,-0.47,-0.67
04-03-2019,VRSN,52,36,-0.15415068,-0.000708605,0.017267437,0.000298164,19446500,10982100,0.02,-0.37,-0.37,0.05,-0.36
04-03-2019,VRTX,41,59,0,0.032520524,-0.034733755,0.001206434,2313300,2633200,1.74,2.18,1.37,-0.04,0.51
04-03-2019,WBA,21,70,0.664976304,0.009550639,-0.04146531,0.001719372,6812200,27055600,1.66,0.54,0.73,0.12,0.16
04-03-2019,WDAY,42,51,0.125163143,0.04603111,-0.057698739,0.003329144,10328100,11842500,2.58,0.67,-0.34,-0.24,-0.1
04-03-2019,XEL,45,19,-0.422856851,-0.0114345,-0.028116948,0.000790563,7463700,2614300,-0.15,-0.17,-0.41,0.05,-0.48
11-03-2019,AAPL,48,28,3.33220451,0.044339662,-0.013445881,0.000180792,6082000,71151100,-0.54,-0.36,0.76,-0.1,0.17
11-03-2019,ADBE,56,21,-0.174353387,0.00211001,-0.02802589,0.000785451,176274300,4761700,-2.58,-0.44,1.01,0.04,0.78
11-03-2019,ADI,33,40,0,0.004928057,-0.000658529,4.3366E-07,21544300,11787500,0.08,1.16,2.63,0.14,0.39
11-03-2019,ADP,45,11,0,0.038110958,0.004761148,2.26685E-05,7165000,43446000,0.68,-0.06,-0.28,0.33,0.07
11-03-2019,ADSK,48,23,0.044451763,-0.030749344,0.032764451,0.001073509,291205000,2539500,0.02,-0.48,-2.72,-0.29,-0.8
11-03-2019,AEP,58,38,-0.100083459,0.001264203,0.008894653,7.91149E-05,15325200,13697200,-0.02,-0.02,-0.03,0,0
11-03-2019,ALGN,49,9,-0.287682072,-0.006703697,-0.01683445,0.000283399,4149100,34737400,-0.57,0.61,0.99,-0.21,0.38
11-03-2019,AMAT,40,16,0.064538521,-0.050208507,0.004707385,2.21595E-05,220635900,2354300,-1.22,-0.87,1.93,0.51,1.25
11-03-2019,AMD,32,32,0,-0.01763047,0.012465411,0.000155386,16162400,13731400,0,0,-0.01,0,-0.01
